0=正确|Correct
20021=机构无此交易权限|
20026=客户已移植|
20028=客户开户失败|
20029=创建转账关系失败|
20030=代理人开户失败|
20031=客户无转账关系|
20032=客户为指定存管|
20201=银证转账对应关系已存在|
20202=未建立银证转账对应关系|
20203=证券端客户号错|
20205=有转账流水|
20206=生成新密钥错误|
20208=发送明细文件错|
20214=银证转账证券公司已注销|
20215=银证转账证券公司已签退|
20216=银证转账证券公司状态非正常|
20217=银证转账客户状态非正常|
20218=银证转账客户已冻结|
20219=银证转账客户已挂失|
20220=银证转账客户已销户|
20229=银证转账客户已半冻结|
20230=银证转账客户已待销户|
20231=银证转账客户已限制|
20232=银证转账客户状态正常|
20221=银证转账金额超限|
20226=银证转账金额到达预警金额|
20227=银证转账资金账号已使用|
20224=未收到银行主机应答|
20225=有转账业务发生|
20233=冲正账号与原交易不符|
20234=冲正币种与原交易不符|
20235=冲正交易码与原交易不符|
20236=请求流水号不合法|
20237=非交易时间|
20301=取资金信息出错|
20302=校验资金出错|
20303=解冻银行资金出错|
20304=冻结银行资金错|
20305=可取资金不足|
20306=冻结资金错|
20307=修改资金流水错|
20308=币种不能为空|
20309=冲正冻结资金错|
20310=解冻资金错|
20311=冲正解冻资金错|
20312=冲正冻结资金与原交易不符|
20313=重发解冻资金与原交易不符|
20314=冲正解冻资金与原交易不符|
20315=错误的解冻标志|
20316=该股东有资金余额|
20317=该股东有冻结资金|
20318=该股东有未回资金|
20319=资金为负|
20320=可用资金不足|
20321=资金开户失败|
20322=备注信息不能为空|
20323=冲正资金与原交易不符|
20401=证券公司不存在|
20402=该证券公司已存在|
20403=该证券公司已注销|
20404=非同属一个证券公司|
20405=该证券公司正在清算|
20406=该证券公司状态不正常|
20407=证券公司柜台交易服务关闭|
20408=无此证券公司扩展信息|
20409=证券公司未签到|
20410=证券公司已签到|
20411=证券公司未签退|
20412=取证券公司清算账号错误|
20413=无证券公司对应营业部编号|
24000=通信包格式错误|
24001=连接银行失败|
24002=向银行发送请求失败|
24003=向银行后台发送请求失败|
24004=接受银行后台应答失败|
24005=发送银行应答失败|
24006=接受银行应答失败|
24010=接受银行请求失败|
24011=发送主机失败|
24012=接受主机应答失败|
